image,category,subcategory
baguette02b.jpg,objects,manmade
basketballhoop01.jpg,objects,manmade
bazooka.jpg,objects,manmade
boat.jpg,objects,manmade
bolt01b.jpg,objects,manmade
bowrake.jpg,objects,manmade
breadslice.jpg,objects,manmade
cap01b.jpg,objects,manmade
caulking.jpg,objects,manmade
cherrypicker.jpg,objects,manmade
chessknight01.jpg,objects,manmade
coffeepot03b.jpg,objects,manmade
compactpowder.jpg,objects,manmade
computermouse02b.jpg,objects,manmade
door.jpg,objects,manmade
dormer.jpg,objects,manmade
drill02b.jpg,objects,manmade
drum04.jpg,objects,manmade
electricguitar01.jpg,objects,manmade
electricmixer.jpg,objects,manmade
fishinghook01b.jpg,objects,manmade
floorlamp.jpg,objects,manmade
flugglehorn.jpg,objects,manmade
fryingpan01.jpg,objects,manmade
fusilli02b.jpg,objects,manmade
gift01.jpg,objects,manmade
giftbag01a.jpg,objects,manmade
glasses01b.jpg,objects,manmade
glassescase.jpg,objects,manmade
hairclipper.jpg,objects,manmade
hairdryer01a.jpg,objects,manmade
handbag02a.jpg,objects,manmade
handcuffs.jpg,objects,manmade
handgripper.jpg,objects,manmade
hanger01.jpg,objects,manmade
headphones03c.jpg,objects,manmade
hihat.jpg,objects,manmade
hoe.jpg,objects,manmade
interlockingbuildingblock01.jpg,objects,manmade
jeep.jpg,objects,manmade
kettle01.jpg,objects,manmade
ladle01b.jpg,objects,manmade
lawnmowertractor.jpg,objects,manmade
lectern02.jpg,objects,manmade
level03a.jpg,objects,manmade
lightbulb02b.jpg,objects,manmade
mechanicalpencil02.jpg,objects,manmade
medal02a.jpg,objects,manmade
microphone01.jpg,objects,manmade
nametag01a.jpg,objects,manmade
noisemaker.jpg,objects,manmade
nutcracker01.jpg,objects,manmade
oneholepunch.jpg,objects,manmade
overalls.jpg,objects,manmade
paintbrush01.jpg,objects,manmade
pen04a.jpg,objects,manmade
pitchfork.jpg,objects,manmade
qtip.jpg,objects,manmade
rattle.jpg,objects,manmade
safetypin.jpg,objects,manmade
sailboat.jpg,objects,manmade
saltshaker03b.jpg,objects,manmade
sandcastle.jpg,objects,manmade
scale01b.jpg,objects,manmade
scarf.jpg,objects,manmade
scissors09.jpg,objects,manmade
screw02.jpg,objects,manmade
setsquare.jpg,objects,manmade
sieve03b.jpg,objects,manmade
sneaker01a.jpg,objects,manmade
soapdispenser04.jpg,objects,manmade
spacerocket.jpg,objects,manmade
syringe01.jpg,objects,manmade
table03.jpg,objects,manmade
tablesaw.jpg,objects,manmade
taillight.jpg,objects,manmade
teapot.jpg,objects,manmade
tennisball01a.jpg,objects,manmade
tent.jpg,objects,manmade
thumbtack02a.jpg,objects,manmade
toaster02.jpg,objects,manmade
toothbrush04a.jpg,objects,manmade
tupperware04b.jpg,objects,manmade
umbrella01.jpg,objects,manmade
urinal.jpg,objects,manmade
violin.jpg,objects,manmade
visor.jpg,objects,manmade
walldeco01.jpg,objects,manmade
weight04c.jpg,objects,manmade
wheel01.jpg,objects,manmade
windshieldwiper02.jpg,objects,manmade
woodboard.jpg,objects,manmade
woodencrate03.jpg,objects,manmade
woodenspoon.jpg,objects,manmade
lock04b.jpg,objects,manmade
cleaver01.jpg,objects,manmade
nailclipper03c.jpg,objects,manmade
outdoorheater.jpg,objects,manmade
poolnet.jpg,objects,manmade
sportsjersey.jpg,objects,manmade
chickenshishkebab.jpg,objects,manmade
vikingmask01b.jpg,objects,manmade
lipstick03a.jpg,objects,manmade
watch03a.jpg,objects,manmade
parkfountain.jpg,objects,manmade
apron.jpg,objects,manmade
trampoline.jpg,objects,manmade
flipflop01a.jpg,objects,manmade
stuffedpuffin.jpg,objects,manmade
saw01b.jpg,objects,manmade
level01a.jpg,objects,manmade
stapler03a.jpg,objects,manmade
workglove02c.jpg,objects,manmade
drum03.jpg,objects,manmade
giftbow04.jpg,objects,manmade
bowl01.jpg,objects,manmade
perfume01a.jpg,objects,manmade
scrubbingbrush04b.jpg,objects,manmade
locker.jpg,objects,manmade
jeans01.jpg,objects,manmade
