image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
CFD-BM-016-036-N.jpg,faces,male,0,,1back,73,1
CFD-AM-239-147-N.jpg,faces,male,0,,1back,73,1
Tennisfacilities-1.jpg,scenes,manmade,0,,1back,73,1
b_791052.jpg,scenes,manmade,1,,1back,73,1
b_791052.jpg,scenes,manmade,1,,1back,73,2
forest_02_11_altavista.jpg,scenes,natural,0,,1back,73,1
urinal.jpg,objects,manmade,0,,1back,73,1
cavepic6.jpg,scenes,natural,1,,1back,73,1
cavepic6.jpg,scenes,natural,1,,1back,73,2
CFD-BM-044-001-N.jpg,faces,male,0,,1back,73,1
CFD-BM-249-235-N.jpg,faces,male,1,,1back,73,1
CFD-BM-249-235-N.jpg,faces,male,1,,1back,73,2
squid.jpg,objects,natural,1,,1back,73,1
squid.jpg,objects,natural,1,,1back,73,2
1147453287.jpg,scenes,natural,0,,1back,73,1
CFD-WF-035-024-N.jpg,faces,female,1,,1back,73,1
CFD-WF-035-024-N.jpg,faces,female,1,,1back,73,2
CFD-BM-218-132-N.jpg,faces,male,1,,1back,73,1
CFD-BM-218-132-N.jpg,faces,male,1,,1back,73,2
FreeFoto_forest_13_49.jpg,scenes,natural,0,,1back,73,1
chessknight01.jpg,objects,manmade,0,,1back,73,1
va_02_03_7115_16_l.jpg,scenes,manmade,0,,1back,73,1
poolnet.jpg,objects,manmade,0,,1back,73,1
CFD-AM-223-138-N.jpg,faces,male,0,,1back,73,1
jeans01.jpg,objects,manmade,1,,1back,73,1
jeans01.jpg,objects,manmade,1,,1back,73,2
DVP4969281_P.jpg,scenes,natural,1,,1back,73,1
DVP4969281_P.jpg,scenes,natural,1,,1back,73,2
amphitheater.jpg,scenes,manmade,0,,1back,73,1
ShueisianTemple.jpg,scenes,manmade,1,,1back,73,1
ShueisianTemple.jpg,scenes,manmade,1,,1back,73,2
rawchicken.jpg,objects,natural,0,,1back,73,1
cabbage.jpg,objects,natural,1,,1back,73,1
cabbage.jpg,objects,natural,1,,1back,73,2
CFD-BF-014-002-N.jpg,faces,female,1,,1back,73,1
CFD-BF-014-002-N.jpg,faces,female,1,,1back,73,2
hen.jpg,objects,natural,0,,1back,73,1
CFD-AM-208-143-N.jpg,faces,male,1,,1back,73,1
CFD-AM-208-143-N.jpg,faces,male,1,,1back,73,2
CFD-BF-025-002-N.jpg,faces,female,1,,1back,73,1
CFD-BF-025-002-N.jpg,faces,female,1,,1back,73,2
